variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
f8936,0.000772806,1.53E-05,0.001061912,0.001077176,0.000232993,0.03256968,0.032802673,
e32800,1.79E-144,10.54443208,104.5350787,115.0795108,34.50052008,618.9199735,653.4204935,3.19E-08
e00900,1.81E-49,594.5347342,10699.96243,11294.49716,6232.733931,195770.2859,202003.0199,0.318592685
jcps87,0,0.07328565,0.126585142,0.053299492,0.162639718,0.483318361,0.320678643,0
jcps63,1.03E-64,0.466112617,0.200984039,0.667096655,1.843880988,52.096326,50.25244502,
e58990,1.26E-53,36.11563716,520.900278,557.0159151,805.8635692,24259.83293,25065.6965,0.625138679
jcps58,0,0.010005762,0.04051438,0.050520142,0.065632658,0.528575979,0.594208636,2.76E-09
p65300,6.22E-62,659.5528538,8913.496896,9573.04975,7971.807675,222511.2664,230483.074,0.331260536
finalseq,1.22E-202,7175.5,114935,107759.5,4142.776857,66357.46451,62214.68766,6.49E-302
e07180,1.82E-132,2.234594573,22.43616147,24.67075604,7.116931072,133.5763644,140.6932954,5.41E-08
n20,7.31E-72,0.000108361,0.001348594,0.001456955,0.001492895,0.038548479,0.040041374,0.357521047
e10300,5.31E-46,4708.758899,79121.89021,83830.64911,11940.86681,389717.3545,401658.2214,7.18E-05
e53240,3.49E-53,7.256440947,106.5524103,113.8088512,197.5019409,5971.611765,6169.113706,0.69001617
e59720,8.32E-61,14.59461679,253.9018342,268.496451,30.83122444,868.8923547,899.7235791,
efi,9.30E-06,0.015998596,0.633334638,0.649333234,0.004596575,0.491325773,0.486729199,1.05E-27
e62720,1.29E-45,3341.341128,54884.73606,58226.07719,23798.38093,780178.3056,803976.6866,0.159300765
agedp1,0.31132027,0.015805053,0.564787911,0.580592964,0.002769695,1.291575682,1.288805987,
jcps14,0,0.908613373,1.039161435,1.947774809,0.762251529,0.984732361,0.222480832,
jcps55,0,0.258200118,0.058468084,0.316668202,39.92960664,16.18436276,56.1139694,
e24560,2.78E-47,3764.868937,60915.0693,64679.93823,11129.83455,358022.4632,369152.2978,0.000550854
jcps81,0,0.272999345,1.518164694,1.791164039,0.336149565,0.742626505,0.40647694,
jcps24,,0,0,0,0,0,0,
jcps97,5.83E-06,0.005152234,0.792934236,0.798086471,0.009407357,0.983509242,0.974101885,0.07921712
jcps70,0,69.46045502,192.9741722,262.4346273,808.7656855,2216.679926,3025.445611,1.67E-18
jcps53,0,66.08908266,26.68696083,92.77604349,1387.254927,861.8360884,2249.091016,
jcps96,6.65E-37,0.033659489,0.598371246,0.632030735,0.021128978,0.77493197,0.796060948,2.36E-46
gender,0.000222847,0.006738405,1.2673487,1.274087105,0.003477257,0.442575838,0.446053096,
jcps2,1.98E-20,0.008787717,1.828380512,1.819592795,0.007476875,0.377049385,0.384526261,1.38E-14
jcps83,0.000550076,24.90305358,263.6384723,288.5415259,8.655446211,1177.360861,1186.016307,
jcps99,3.16E-129,0.019905233,0.150298648,0.170203881,0.026080142,0.495845962,0.521926104,6.30E-39
e59700,3.89E-96,1.786122674,23.85224628,25.63836895,8.626867931,191.3530567,199.9799246,0.002320284
e59560,4.80E-100,164.9898977,2069.334456,2234.324353,304.2180528,6609.102544,6913.320597,3.89E-16
e06300,5.93E-47,4169.593327,70237.39424,74406.98756,11398.06524,368002.2709,379400.3362,0.00019722
e24615,2.91E-08,5.888529256,116.9139466,122.8024759,51.087347,4319.116086,4370.203433,0.651194485
e24515,2.65E-44,67.4611599,1072.726657,1140.187817,1306.679029,43501.44235,44808.12138,0.610234574
e11583,0.754288037,0.058077102,25.87578142,25.81770432,0.257599494,388.1456164,388.4032159,0.96021286
f8829,0.670343355,0.000117086,0.032627279,0.032744365,0.000168323,0.186452577,0.1866209,0.834180722
jcps64,0,0.006327535,0.000269719,0.006597254,0.207294589,0.048825135,0.256119724,
e62900,1.57E-48,152.9162607,2451.190487,2604.106747,1977.773013,62753.34941,64731.12242,0.423483325
e07140,,0,0,0,0,0,0,
jcps13,0,0.908092979,1.027298157,1.935391136,0.733258521,0.979092934,0.245834413,
e15360,1.86E-120,0.72251323,17.36641304,16.64389981,8.963467205,185.5412509,176.5777837,0.183714592
e20550,1.19E-14,6.673134241,693.2303355,699.9034698,120.7158555,7318.626585,7439.342441,0.762896721
e07200,1.39E-21,0.000480052,0.073685447,0.074165499,0.107696268,5.270139986,5.377836254,0.97600299
e33000,1.84E-142,10.14869147,101.4426652,111.5913566,33.55872162,606.439351,639.9980726,5.52E-08
e20600,1.61E-51,16.55933322,279.7943263,296.3536596,82.33765813,2531.493849,2613.831507,0.031751105
jcps43,0,7.064152274,44.79256011,37.72840784,110.2380995,1132.991607,1022.753508,0.029306854
e11581,5.59E-106,2.29495961,29.48169671,27.1867371,18.86822875,416.2421944,397.3739657,
jcps74,0,0.008382081,0.012211303,0.020593384,0.046268619,0.155057808,0.201326427,
jcps73,0,0.007782676,0.01087576,0.018658435,0.044898294,0.14165849,0.186556784,
e01000,1.94E-45,3365.465009,54472.08931,57837.55432,23527.88008,772881.2615,796409.1416,0.152425811
e25920,1.29E-56,316.4826413,4601.493268,4917.975909,2890.506043,84570.3848,87460.89084,0.219595981
e26160,1.30E-72,34.90944972,785.1518909,820.0613406,956.1272851,25490.21589,24534.08861,0.641851392
e62730,8.37E-42,51.66562165,843.3314366,894.9970583,1118.508663,38398.40373,39516.9124,0.658154205
jcps20,,0,0,0,0,0,0,
jcps89,0,39.06552502,96.84132267,135.9068477,176.0554901,1000.472046,1176.527536,5.71E-33
p61850,2.09E-49,1267.772848,20271.16331,21538.93615,5127.504607,161164.4053,166291.9099,0.009782724
e06000,1.42E-46,12511.49294,225616.071,238127.5639,32751.71542,1061978.868,1094730.583,0.000108409
jcps7,5.83E-06,0.005152234,0.792934236,0.798086471,0.009407357,0.983509242,0.974101885,0.07921712
e11100,5.11E-49,768.36011,12045.72728,12814.08739,4926.374554,155487.0097,160413.3842,0.104587051
