variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
e87870,0.002096671,1.977658695,288.1373391,286.1596804,2.108085492,324.2473282,322.1392428,0.04129333
jcps36,0,402.9310107,957.6295716,1360.560582,1008.149574,6161.684542,7169.834116,
jcps78,0,787.7509235,3681.820968,4469.571891,1197.50429,5475.984016,6673.488307,
jcps79,0,39.83694261,329.5130313,369.3499739,86.71352064,720.2805108,633.5669901,
e07230,1.92E-48,2.714166772,58.56635736,61.28052413,9.263069636,294.1827983,303.4458679,0.002441754
jcps90,0,0.048661258,1.240985083,1.28964634,0.046825937,0.501027275,0.454201339,2.28E-251
mars,1.48E-32,0.015682773,1.815338301,1.831021075,0.021674898,0.849818618,0.871493516,1.21E-09
jcps42,3.50E-114,0.012213615,0.197877922,0.185664306,0.040615393,0.863367957,0.822752564,1.39E-06
s006,3.10E-06,1230.230671,103011.1803,104241.4109,619.96159,62993.65341,62373.69182,5.98E-11
jcps10,,0,0,0,0,0,0,
e03150,1.37E-05,1.41962105,135.840979,137.2606,9.816317407,1060.050862,1069.867179,0.656577837
e59680,0.001120199,0.010473373,2.430018837,2.440492209,0.266281271,38.41440252,38.68068379,0.927790638
jcps27,0,587.3490397,443.2398671,1030.588907,3533.154119,4220.626455,7753.780574,1.02E-219
jcps60,5.20E-254,8.17E-05,0.000669947,0.000751677,0.004467331,0.064079935,0.059612603,0.659978922
jcps1,1.97E-252,2.584098534,44.5890703,47.17316883,1.278078503,18.38864704,17.11056854,0
jcps66,6.70E-47,0.001727894,0.026576006,0.0283039,0.007024177,0.226920717,0.233944895,0.012357663
jcps26,5.21E-189,19.20414175,1758.678056,1739.473914,514.5071661,8023.96622,8538.473386,0.439039607
e01700,8.78E-66,162.7287476,5104.858841,5267.587589,1169.584302,31630.20311,32799.78742,0.091913622
txst,4.21E-06,0.075883288,2.330305522,2.40618881,0.028051737,2.862204283,2.890256021,1.37E-18
agerange,0.000187903,0.025406036,2.532374751,2.506968715,0.016303613,2.051013447,2.067317059,
e26270,4.97E-52,3970.42432,60432.28643,64402.71075,28691.42797,877570.4435,906261.8714,0.137483274
xoodep,3.14E-129,0.003244573,0.042593825,0.045838399,0.013691585,0.260307848,0.273999433,5.07E-05
jcps50,0,0.006853355,0.022369262,0.029222617,0.049437533,0.404573954,0.454011487,1.01E-07
e10960,9.02E-54,2.373757858,42.69274239,45.06650025,6.95791099,209.1664032,216.1243142,0.000195756
p25470,1.04E-45,303.3916032,5222.037456,5525.429059,2091.845871,68502.14001,70593.98588,0.145550196
e00650,4.16E-51,1109.725987,17687.43553,18797.16152,12174.34349,375892.8992,388067.2427,0.332399404
jcps41,1.05E-214,12.57715255,1713.087746,1700.510593,538.0038923,7850.612179,8388.616072,0.605244484
e08800,4.19E-46,4609.210611,77251.4554,81860.66601,11851.2974,386338.2584,398189.5558,8.84E-05
e24516,1.49E-45,3729.188928,60880.47825,64609.66717,24849.86788,815216.8368,840066.7047,0.132762623
e53317,1.12E-53,6.229770413,87.20727893,93.43704934,161.6775258,4864.789467,5026.466993,0.674284749
jcps18,0,0.163785904,1.152421597,1.3162075,0.596805394,1.810483965,1.213678571,
jcps61,0,179.1517002,40.80467136,219.9563715,2823.906365,1203.332173,4027.238538,
e10700,5.39E-46,1970.313912,36825.68419,38795.9981,7302.56911,238352.5216,245655.0908,0.006600678
e26110,3.19E-36,18.28546028,350.2795505,368.5650108,158.8381538,5883.510803,6042.348957,0.306274207
p23250,7.63E-59,1238.601554,25123.5168,26362.11836,29486.91252,845429.5735,874916.486,0.630918723
e10950,7.37E-05,2.523529318,296.4895832,293.9660539,2.581806147,308.4447025,305.8628964,0.006149886
e22370,3.78E-52,14.40615172,217.0983908,231.5045425,436.7049223,13341.25903,13777.96395,0.72298527
p60100,4.26E-52,768.4486187,11870.89969,12639.34831,13322.93348,407227.2418,420550.1753,0.535614376
e09700,5.94E-52,2.616280713,42.38976983,45.00605054,137.5278728,4209.796329,4347.324202,0.838339779
elect,0.014174077,0.002856473,0.154387934,0.157244406,0.00255071,0.489246462,0.491797172,0.052100036
jcps37,0,793.8582434,253.4987362,1047.35698,3729.197808,3343.475693,7072.673502,
e01500,1.29E-36,1435.898793,29893.74943,31329.64822,30832.45038,1135517.608,1166350.058,0.677241308
e15210,3.27E-52,0.024819254,0.379694522,0.404513776,2.789522169,85.1660689,87.95559107,0.923787444
p25350,5.21E-54,1591.063911,25410.49181,27001.55572,9553.211623,286518.218,296071.4296,0.068398466
e02000,5.57E-52,4466.330054,67789.18533,72255.51538,29531.92796,903734.0201,933265.9481,0.104722541
jcps82,4.59E-21,0.030039956,0.542965776,0.573005732,0.017559637,0.870797321,0.888356959,
jcps98,0,0.05417335,1.84066142,1.89483477,0.141861157,0.44951847,0.307657313,0
schcf,4.32E-10,0.007458176,0.272968517,0.280426693,0.007561442,0.56767742,0.575238862,1.34E-05
flpdyr,3.71E-05,0.001072736,2008.956923,2008.955851,0.002307994,0.262798499,0.265106492,0.175222522
e02500,3.79E-20,96.79110542,1891.775037,1988.566143,126.158943,6410.386209,6536.545152,
e07260,7.51E-52,2.933533799,80.1288647,83.0623985,67.08696733,2055.69361,2122.780577,0.639446759
e18400,8.33E-49,1205.501614,20023.82348,21229.3251,4222.945106,133590.0826,137813.0277,0.00303804
s27860,1.54E-51,18.06006388,308.4522924,326.5123563,409.7080131,12594.30085,13004.00886,0.637797593
jcps95,0,0.054384395,1.513609926,1.567994321,0.067946896,0.563854439,0.495907542,2.22E-254
e04800,3.65E-45,15900.17321,280979.5373,296879.7105,40992.94953,1350935.294,1391928.243,0.000109691
e12000,6.43E-51,592.9161035,9117.815538,9710.731642,3044.808022,94195.22454,97240.03256,0.038761297
e20800,5.97E-52,203.8947062,3574.486886,3778.381592,1722.125785,52716.47221,54438.598,0.204188832
e03290,1.78E-34,3.372668909,67.58210981,70.95477872,15.72450708,597.9689985,613.6935056,0.063270791
e26400,5.39E-51,63.15997484,1027.26747,1090.427445,2045.154606,63219.63785,65264.79246,0.742896044
e04250,1.00E-05,0.688510011,85.89253009,85.20402008,2.410408499,258.5613307,256.1509222,0.372335237
e53458,6.80E-53,18.32348973,265.1076483,283.431138,325.390776,9866.73926,10192.13004,0.542156011
p04470,5.32E-51,3149.370837,57778.91812,60928.28896,11227.5934,347045.2162,358272.8096,0.002886995
e19800,1.15E-55,543.3134992,8696.144291,9239.45779,4146.327811,122396.1753,126542.5031,0.145289655
e52872,,0,0,0,0,0,0,
agedp3,0,0.015251105,0.070443156,0.085694261,0.048456676,0.478951875,0.527408551,
jcps17,0,0.345202484,0.405078545,0.750281028,0.166216336,0.806061889,0.972278225,
